Dto_Barrio_Entero;Distrito_num;Barrio_num;Barrio_nom;TOTAL;Total_Europa;España;Italia;Francia;ReinoUnido;Rusia;Alemania;Rumanía;Portugal;Ucrania;Polonia;PaísesBajos;Bulgaria;Suecia;Bélgica;Irlanda;Grecia;Suiza;Hungría;Restopaíses_Europa;Total_Africa;Marruecos;Argelia;Senegal;Nigeria;Restopaíses_Africa;Total_America;Colombia;Honduras;Venezuela;Perú;Argentina;Bolivia;Brasil;Ecuador;RepúblicaDominicana;EstadosUnidosdeAmérica;México;Chile;Paraguay;Cuba;ElSalvador;Uruguay;Nicaragua;Restopaíses_America;Total_Asia;Pakistán;China;Filipinas;India;Bangladesh;Georgia;Armenia;Japón;Nepal;Turquía;Irán;Restopaíses_Asia;Oceanía;Apátridas/  Noconsta
7     39. Sant Genís dels Agudells;7;39;Sant Genís dels Agudells;7385;6267;5921;93;21;10;44;27;25;20;38;14;7;4;4;2;2;7;3;2;23;96;47;14;2;8;25;835;91;126;81;154;45;18;46;46;32;29;25;33;42;4;13;7;27;16;186;31;36;2;17;0;37;0;7;26;1;6;23;0;1
7     40. Montbau;7;40;Montbau;5114;4517;4287;92;18;7;16;6;16;18;22;5;4;3;1;0;4;3;2;0;13;47;26;5;3;0;13;430;57;48;59;56;28;30;20;24;1;11;45;4;20;10;6;2;2;7;120;18;21;0;27;0;26;5;2;11;1;5;4;0;0
7     41. la Vall d'Hebron;7;41;la Vall d'Hebron;5932;5510;5282;59;11;10;24;12;47;8;18;9;2;5;0;0;4;5;1;0;13;20;14;0;3;0;3;331;47;44;72;36;14;12;11;5;20;11;24;16;6;5;1;0;2;5;70;5;25;1;13;0;7;3;1;0;0;0;15;1;0
7     42. la Clota;7;42;la Clota;698;625;590;14;4;1;2;2;1;0;1;0;1;0;0;1;0;0;0;0;8;9;4;4;1;0;0;25;3;4;2;1;4;1;1;2;1;0;0;2;1;3;0;0;0;0;39;18;0;0;0;16;3;0;0;0;0;0;2;0;0
7     43. Horta;7;43;Horta;28055;24350;23413;242;81;35;77;47;157;49;94;27;11;15;11;6;5;9;4;4;63;388;254;27;40;7;60;2312;334;606;188;274;95;54;129;108;26;114;63;46;60;38;86;29;39;23;1002;310;173;102;55;8;138;35;11;8;7;6;149;2;1
8     44. Vilapicina i la Torre Llobeta;8;44;Vilapicina i la Torre Llobeta;25875;22547;21659;251;71;41;70;38;107;56;91;17;21;35;16;11;2;3;6;6;46;197;107;11;26;12;41;2207;312;294;200;283;66;88;261;178;11;160;41;33;98;61;71;14;18;18;921;154;399;25;32;6;142;107;5;0;10;15;26;1;2
8     45. Porta;8;45;Porta;27796;21784;20834;214;51;30;138;30;156;50;118;24;17;20;1;10;11;10;8;1;61;629;378;42;48;71;90;3806;499;1331;219;384;96;118;235;225;31;191;39;26;167;59;98;20;56;12;1574;481;301;35;197;14;254;224;4;15;4;10;35;2;1
8     46. el Turó de la Peira;8;46;el Turó de la Peira;16186;12579;12083;107;29;24;54;10;88;25;98;8;5;7;2;2;0;2;1;0;34;328;224;38;19;18;29;2236;283;283;178;177;54;71;442;168;12;309;33;13;99;32;35;7;23;17;1039;437;162;4;53;9;228;99;1;11;5;6;24;1;3
8     47. Can Peguera;8;47;Can Peguera;2215;1999;1968;11;1;0;6;0;4;2;0;2;0;0;2;3;0;0;0;0;0;54;41;1;0;4;8;128;13;29;10;7;4;3;9;14;2;13;10;0;1;5;1;4;0;3;34;4;5;2;10;0;2;4;0;0;0;0;7;0;0
8     48. la Guineueta;8;48;la Guineueta;15267;13921;13526;94;29;17;28;10;60;23;61;20;9;2;6;0;2;3;0;0;31;98;63;3;6;4;22;931;121;227;68;113;38;43;48;67;12;60;7;14;52;27;10;6;17;1;315;69;95;13;18;3;44;40;4;1;3;0;25;2;0
