COM,LIBCOM,DEC_PIMP19,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319,DEC_EQ19,DEC_D119,DEC_D219,DEC_D319,DEC_D419,DEC_D619,DEC_D719,DEC_D819,DEC_D919,DEC_RD19,DEC_S80S2019,DEC_GI19,DEC_PACT19,DEC_PTSA19,DEC_PCHO19,DEC_PBEN19,DEC_PPEN19,DEC_PAUT19,DEC_NOTE19
02738,Tergnier,40.46666666666667,37.016666666666666,9528.333333333334,16248.333333333334,22620,0.82,3256.6666666666665,7813.333333333333,10978.333333333334,13630,18665,21230,24236.666666666668,29096.666666666668,26.833333333333332,11.266666666666666,0.3456666666666667,61.733333333333334,NA,NA,NA,36.4,1.8666666666666667,0
02810,Villers-Cotterêts,49.725,28.7,12312.5,18337.5,25222.5,0.725,7117.5,10730,13660,15937.5,20605,23460,27482.5,34545,5.85,7.15,0.33275,70.6,NA,NA,NA,25.4,4,0
03095,Cusset,NA,NA,12270,18901.666666666668,26055,0.7466666666666667,5775,10456.666666666666,13915,16490,21548.333333333332,24298.333333333332,27980,34713.333333333336,31.116666666666667,10.433333333333334,0.3466666666666667,56.71666666666667,48.6,3,5.116666666666667,39.88333333333333,3.4,0
03185,Montluçon,43.806666666666665,33.74,9972,17535.333333333332,24851.333333333332,0.87,3186,7943.333333333333,11664,14694.666666666666,20176,23026.666666666668,26985.333333333332,33474,NA,41.28,0.3804666666666667,55.18666666666667,48.18,3.3133333333333335,3.6933333333333334,41.193333333333335,3.62,0
03190,Moulins,NA,NA,10661.111111111111,17795.555555555555,25743.333333333332,0.8911111111111111,4215.555555555556,8804.444444444445,12317.777777777777,15133.333333333334,20645.555555555555,23937.777777777777,28068.88888888889,35610,NA,24.566666666666666,0.37822222222222224,60.65555555555555,52.955555555555556,3.1555555555555554,4.544444444444444,36,3.3444444444444446,0
03310,Vichy,NA,NA,10845,18474,27180,0.908,3650,9026,12528,15647,21486,24972,29835,38113,NA,19.23,0.3963,48.89,41.73,3.3,3.86,45.69,5.42,0
03321,Yzeure,NA,NA,15968,22506,29788,0.622,9670,14376,17414,20128,24734,27840,31788,38210,4.78,5.8,0.294,57.1,50.72,1.98,4.4,39.3,3.6,0
04070,Digne-les-Bains,NA,NA,12230,19335,27441.25,0.8275,5506.25,10440,13846.25,16675,22078.75,25381.25,29773.75,37292.5,NA,14.275,0.357875,55.9875,48.25,2.925,4.8125,38.775,5.2375,0
04112,Manosque,NA,NA,11656.666666666666,18834.444444444445,27847.777777777777,0.9144444444444444,5851.111111111111,10046.666666666666,13136.666666666666,16004.444444444445,22296.666666666668,25660,30643.333333333332,39117.77777777778,NA,15.42222222222222,0.41855555555555557,52.93333333333334,46.4,3.477777777777778,3.055555555555556,32.34444444444444,14.722222222222223,0
05023,Briançon,56.2,20.724999999999998,14480,20302.5,27930,0.665,8767.5,12697.5,15670,18052.5,22922.5,26030,30357.5,38812.5,4.475,6.075,0.32775,62.7,52.8,4,5.9,31.125,6.175,0
05061,Gap,54.87647058823529,NA,13551.764705882353,20451.764705882353,28155.882352941175,0.7264705882352941,7559.411764705882,11952.941176470587,15072.35294117647,17804.70588235294,23040.58823529412,26235.882352941175,30355.29411764706,38031.17647058824,6.064705882352941,7.5,0.3352941176470588,58.10588235294118,50.00588235294118,3,5.1,36.11176470588235,5.7823529411764705,0
06004,Antibes,64.54583333333333,18.658333333333335,15588.333333333334,23536.25,34252.083333333336,0.7991666666666667,8790,13702.5,17302.916666666668,20457.916666666668,27050.416666666668,31475.833333333332,37541.25,48316.25,5.966666666666667,7.654166666666667,0.3556666666666667,62.93333333333333,54.99166666666667,3.0375,4.904166666666667,28.875,8.191666666666666,0
06012,Beausoleil,58.38,23.06,13740,21774,31722,0.828,6278,11780,15434,18678,25194,29394,34804,44326,7.4,10,0.3864,74.02,69.4,2.32,2.3,21.2,4.78,0
06027,Cagnes-sur-Mer,NA,NA,15799.375,23431.25,33085,0.73875,9365,14079.375,17400.625,20398.75,26648.125,30653.75,36138.125,45620.625,4.96875,6.45,0.3368125,58.63125,50.89375,2.96875,4.76875,33.94375,7.425,0
06029,Cannes,NA,NA,12369,20518,31196.333333333332,0.909,5935,10596.333333333334,14083.333333333334,17247,24042.666666666668,28264.666666666668,34700.333333333336,47208,8.443333333333333,11.653333333333332,0.4130333333333333,55.11666666666667,46.223333333333336,3.9066666666666667,4.986666666666666,33.89333333333333,10.99,0
06030,Le Cannet,NA,NA,13778.823529411764,21222.352941176472,30800.58823529412,0.7941176470588235,7473.529411764706,11954.117647058823,15415.29411764706,18382.941176470587,24411.176470588234,28327.647058823528,33586.470588235294,43790,6.270588235294118,8.505882352941176,0.35964705882352943,62.63529411764706,53.2,3.7470588235294118,5.688235294117647,30.152941176470588,7.211764705882353,0
06033,Carros,NA,NA,13650,19932.5,26897.5,0.6950000000000001,8747.5,12375,14832.5,17447.5,22712.5,25447.5,28925,34907.5,4.65,5.5,0.2945,70.95,64.575,3.85,2.525,25.725,3.325,0
06069,Grasse,NA,NA,14525.29411764706,21854.117647058825,31065.29411764706,0.7911764705882353,8756.470588235294,12918.235294117647,16074.70588235294,18902.352941176472,24979.41176470588,28734.117647058825,34084.117647058825,43494.117647058825,NA,11.441176470588236,0.37882352941176467,67.28235294117647,58.85294117647059,3.711764705882353,4.7176470588235295,22.929411764705883,9.788235294117648,0
06079,Mandelieu-la-Napoule,NA,NA,16220,23953.75,34032.5,0.7375,9631.25,14350,17890,21012.5,27280,31302.5,37396.25,47825,5.0375,6.7,0.343875,56.6875,48.737500000000004,3.325,4.625,34.8375,8.475,0
06083,Menton,58.19166666666667,21.208333333333332,14546.666666666666,22032.5,31245,0.7591666666666667,8008.333333333333,12648.333333333334,16103.333333333334,19040,25375,28917.5,33997.5,42658.333333333336,5.391666666666667,7.775,0.35991666666666666,63.31666666666667,55.35,2.841666666666667,5.125,30.258333333333333,6.425,0
06084,Mouans-Sartoux,NA,NA,18507.5,27775,40822.5,0.8075,11760,16595,20605,24140,31782.5,37317.5,45130,59782.5,5.175,6.975,0.365,66.675,59.05,2.4,5.225,23.05,10.275,0
06085,Mougins,NA,NA,18167.14285714286,27054.285714285714,40892.857142857145,0.8442857142857143,11385.714285714286,16314.285714285714,20121.428571428572,23398.571428571428,31462.85714285714,37078.57142857143,45938.57142857143,63662.857142857145,5.828571428571428,8.557142857142857,0.3982857142857143,65.92857142857143,55.91428571428571,2.742857142857143,7.271428571428571,19.9,14.17142857142857,0.14285714285714285
06088,Nice,NA,NA,12436.875,20550.347222222223,30627.36111111111,0.9079166666666667,5930.069444444444,10567.291666666666,14129.236111111111,17326.666666666668,23981.38888888889,28089.930555555555,33771.319444444445,44274.166666666664,NA,12.933333333333334,0.39018055555555553,65.02291666666666,55.37638888888889,3.716666666666667,5.929861111111111,28.368055555555557,6.6090277777777775,0.013888888888888888
06104,Roquebrune-Cap-Martin,65.16,16.599999999999998,16634,25468,36906,0.792,9106,14574,18444,21882,29168,33924,40346,52122,5.86,8.36,0.381,65.56,58.26,2.52,4.78,26.14,8.3,0
06123,Saint-Laurent-du-Var,NA,NA,16714,23921,32556,0.665,10169,14907,18340,21217,26910,30360,35319,44199,4.57,5.87,0.3147,64.73,57.35,2.96,4.42,28.7,6.57,0
06149,La Trinité,58.85,19.575000000000003,14785,21680,28757.5,0.6425,8742.5,13242.5,16457.5,19107.5,24210,26920,30502.5,36692.5,4.275,5.4,0.29725,66.6,60.85,2.575,3.175,28.175,5.225,0
06152,Valbonne,NA,NA,19472.5,29635,42495,0.78,11365,17000,21495,25392.5,34245,39480,46990,59375,5.35,7.075,0.353,76.95,69.35000000000001,2.7,4.9,15.75,7.3,0
06155,Vallauris,56.07,27.75,12982,19766,28891,0.824,7180,11319,14368,17084,22860,26665,31626,41591,6.34,8.72,0.3806,64.2,54.83,4.16,5.21,26.53,9.27,0
06157,Vence,62.628571428571426,20.942857142857143,15114.285714285714,23520,34568.57142857143,0.8414285714285714,8570,13290,16841.428571428572,20402.85714285714,27155.714285714286,31905.714285714286,37968.57142857143,49874.28571428572,6.3,8.314285714285715,0.37185714285714283,60.82857142857143,51.81428571428572,3.0714285714285716,5.942857142857143,30.285714285714285,8.885714285714286,0
