IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP19,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319,DEC_EQ19,DEC_D119,DEC_D219,DEC_D319,DEC_D419,DEC_D619,DEC_D719,DEC_D819,DEC_D919,DEC_RD19,DEC_S80S2019,DEC_GI19,DEC_PACT19,DEC_PTSA19,DEC_PCHO19,DEC_PBEN19,DEC_PPEN19,DEC_PAUT19,DEC_NOTE19
010040101,Les Pérouses-Triangle d'Activités,01004,Ambérieu-en-Bugey,49.5,31.4,10870,18150,25590,0.81,5720,9490,12620,15620,20840,23780,27350,32850,5.7,7.3,0.334,68,62.1,3.2,2.7,28.1,3.9,0
010040102,Longeray-Gare,01004,Ambérieu-en-Bugey,46.8,40.5,8620,15740,23490,0.94,3880,7400,9690,12870,18450,21760,25120,31020,8,9.8,0.369,70.2,63.1,4.5,2.6,27,2.8,0
010040201,Centre-Saint-Germain-Vareilles,01004,Ambérieu-en-Bugey,53,29.5,11780,18600,26550,0.79,6490,10290,13120,16290,21180,24750,28280,34940,5.4,7.2,0.344,67.6,60,3.3,4.3,28.6,3.8,0
010040202,Tiret-Les Allymes,01004,Ambérieu-en-Bugey,67.6,14.8,16850,24580,33290,0.67,10240,15300,18460,21750,27570,31280,36040,44630,4.4,7.5,0.392,63.2,57.4,2.4,3.4,21,15.8,0
010330102,Centre Ville,01033,Valserhône,48.7,29.6,11300,19510,29150,0.91,5340,9660,13110,16080,23000,27030,31940,42020,7.9,10,0.383,72.4,65.8,4.2,2.4,23.9,3.7,0
010330103,Lancrans-Coupy-Vanchy,01033,Valserhône,53.5,20.9,14480,23700,35050,0.87,8180,12780,16280,19670,27180,32270,38340,48910,6,7.9,0.362,76.1,70.7,3.9,1.5,19.7,4.2,0
010330201,Arc Vouvray-Gare-Châtillon,01033,Valserhône,53.8,20,15200,23730,35470,0.85,7970,12980,17040,20700,27540,32150,39930,56090,7,8.1,0.369,72.5,66.4,3.3,2.8,24.4,3.1,0
010330202,Plateau de Musinens,01033,Valserhône,44.7,33.7,10470,17600,26700,0.92,5240,8510,11670,14780,20850,24500,29010,39700,7.6,9.6,0.382,68.8,62.9,4.1,1.8,30,1.2,0
010330301,Arlod,01033,Valserhône,43.7,28.3,12340,19420,28920,0.85,6270,10520,13990,16810,22460,26840,33090,41190,6.6,8,0.36,78.6,74.2,3.6,0.8,19.6,1.8,0
010330401,Châtillon-en-Michaille,01033,Valserhône,60.7,9.8,19860,27920,40850,0.75,13100,17980,21550,24810,32430,37570,44680,57530,4.4,5.7,0.322,76.7,71.9,2.4,2.4,18.4,4.9,0
010530101,Centre Ville,01053,Bourg-en-Bresse,57.5,29.3,11360,19110,29200,0.93,5640,9490,13100,16200,21820,26560,32480,41050,7.3,11.8,0.416,70.4,62.1,3.2,5.1,22.5,7.1,0
010530102,Champ de Foire,01053,Bourg-en-Bresse,59.1,25.4,12670,20330,28850,0.8,6720,11060,14630,17480,23520,26720,31100,37710,5.6,7.9,0.35,53,47.9,2.7,2.4,42.1,4.9,0
010530103,Préfecture,01053,Bourg-en-Bresse,57.1,24.3,13160,21320,32350,0.9,4820,10750,15150,18130,25310,29680,35700,49490,10.3,13.8,0.445,59.1,50.7,3.1,5.3,30.6,10.3,0
010530201,Citadelle,01053,Bourg-en-Bresse,57,26.8,12480,19680,27420,0.76,5880,10910,13530,16630,22100,25290,29920,38230,6.5,8.6,0.375,63.2,57.8,2.9,2.5,32.4,4.4,0
010530202,Mail,01053,Bourg-en-Bresse,43.4,44.6,7590,14890,23100,1.04,2440,6120,9180,11710,17650,20990,25190,32400,13.3,14.4,0.414,66.9,58.7,5.2,3,29.2,3.9,0
010530203,Peloux,01053,Bourg-en-Bresse,58.3,27.8,12130,19440,27190,0.77,5540,10490,14040,16830,22040,25060,30070,38230,6.9,8.3,0.352,66.8,61.2,3.1,2.5,30.1,3.1,0
010530301,Gare,01053,Bourg-en-Bresse,64,17.7,15770,23040,32480,0.73,9000,13820,17430,19980,26350,29860,35850,47230,5.2,7.6,0.363,65.5,59.7,2.6,3.2,29.6,4.9,0
010530302,Brou,01053,Bourg-en-Bresse,51.9,32.7,10590,18200,26280,0.86,4960,8660,12130,15690,20930,24450,29250,38170,7.7,10.4,0.4,65.2,58.5,3.2,3.5,31.9,2.9,0
010530401,Vennes Ouest,01053,Bourg-en-Bresse,50.1,31.2,11070,18150,27100,0.88,5480,9640,12640,15470,21080,24690,30200,37300,6.8,8.2,0.356,62.3,55,2.9,4.4,35.2,2.5,0
010530402,Vennes Est,01053,Bourg-en-Bresse,64.9,15.9,16020,22670,29480,0.59,10340,14520,17420,20250,25040,27910,32620,39120,3.8,4.9,0.291,62.5,57,3.3,2.2,35.2,2.3,0
010530501,Baudières,01053,Bourg-en-Bresse,63.1,16.6,16300,23360,31950,0.67,8860,14500,18240,20490,25820,29210,34630,43200,4.9,6.8,0.355,51.3,45.7,1.6,4,43.8,4.9,0
010530502,Sardières,01053,Bourg-en-Bresse,55.3,27.8,11690,19780,29560,0.9,6350,9940,13690,16850,22970,26850,32910,42100,6.6,9,0.394,58.2,51.3,2.4,4.5,35.2,6.6,0
010530503,Croix Blanche,01053,Bourg-en-Bresse,29,59.2,6150,10900,17450,1.04,750,5150,6910,8810,13150,15490,18890,23500,31.3,16.9,0.422,68.8,61.1,6.8,0.9,29.3,1.9,0
010530601,Pont des Chèvres,01053,Bourg-en-Bresse,36.8,51.1,6530,12660,20000,1.06,1680,5420,7680,10550,15290,18190,22550,28240,16.9,15.5,0.403,56.3,49.7,5,1.6,41.8,1.9,0
010530602,Reyssouze Ouest,01053,Bourg-en-Bresse,34.3,54.9,6220,11480,18670,1.08,2340,5390,6990,9220,14400,16990,20340,25600,10.9,11.9,0.394,56.8,48.6,6.1,2.1,41.2,2,0
010530603,Reyssouze Est,01053,Bourg-en-Bresse,26.9,63.1,6170,10390,16610,1,1730,4670,7180,8670,12290,15130,17850,22310,12.9,13.3,0.388,62.8,54.2,8,0.6,36.1,1.1,0
010530604,Cenord-Grand Challes,01053,Bourg-en-Bresse,NA,NA,13330,20980,28410,0.72,3850,12010,15240,18740,23600,26690,29630,37020,9.6,8.5,0.331,54.4,48.8,2,3.6,42.5,3.1,0
010530701,Granges Bardes-Alagnier,01053,Bourg-en-Bresse,59.2,24.7,13000,20470,27480,0.71,6960,11070,14250,17660,23030,25700,29740,35360,5.1,7,0.342,69,63.1,2.9,3,28,3,0
011730101,Centre,01173,Gex,62.3,17.6,16950,29660,49220,1.09,7550,14430,19740,25000,36340,45450,54400,72700,9.6,11.5,0.407,86.5,81.2,2.9,2.4,9.7,3.8,0
011730102,Ouest,01173,Gex,63.9,15.4,19490,34560,54300,1.01,8590,16350,22230,28350,41190,50030,61000,75480,8.8,10.2,0.384,85.5,81.5,2.5,1.5,11.3,3.2,0
011730103,Est,01173,Gex,64.9,14.7,21640,38700,56740,0.91,9740,17270,25490,32310,46440,52710,62060,81460,8.4,10.4,0.383,88.4,83.3,3.3,1.8,9.6,2,0
012830102,ZUS Centre,01283,Oyonnax,30.8,55.4,7460,12010,16950,0.79,4230,6530,8320,10000,14020,15910,18530,22910,5.4,7.1,0.331,70.8,62.5,7.5,0.8,28.4,0.8,0
012830103,ZUS Nord-Est,01283,Oyonnax,33.6,52,7640,12400,18560,0.88,3880,6310,8360,10360,14700,17160,19760,24680,6.4,8.2,0.358,62.5,55.8,5.5,1.2,36.6,0.9,0
012830104,ZUS Ouest,01283,Oyonnax,26.8,60.3,6190,10420,16800,1.02,3260,5570,6930,8380,12930,15550,18080,22180,6.8,9.6,0.398,73.3,62.8,7.6,2.9,26,0.7,0
012830201,Ville Sud,01283,Oyonnax,54.3,29.2,11960,18700,25430,0.72,5970,10180,13390,15860,21310,23600,27170,33840,5.7,8.2,0.358,61.1,54.7,3.9,2.5,33.9,5,0
012830202,Ville Est,01283,Oyonnax,48.2,34.8,10120,17300,24280,0.82,4130,8480,11490,14750,19970,22810,26470,32700,7.9,9.5,0.36,67,61,4,2,29.6,3.4,0
012830203,Nierme et Geilles,01283,Oyonnax,37.5,46.2,7660,14170,21650,0.99,3710,6920,8900,11520,16570,19840,24070,31000,8.4,10.5,0.404,63.3,54.8,5.4,3.1,32.5,4.2,0
012830301,Ville Ouest,01283,Oyonnax,48.7,32.7,10490,17400,23920,0.77,5760,9100,12100,15340,19720,22140,26280,33070,5.7,8.4,0.372,66.2,60.4,3.9,1.9,28.8,5,0
012830303,Ville Nord,01283,Oyonnax,53.1,34.8,9850,17070,24170,0.84,4720,8190,11070,14090,19470,22580,26630,34040,7.2,9.7,0.384,70.5,63.7,4.2,2.6,25.9,3.6,0
012830304,Extérieur Est,01283,Oyonnax,54.4,28.7,11710,18530,25460,0.74,6120,9830,13430,16170,21290,23860,27640,37610,6.1,8.3,0.376,70.9,62.1,4.1,4.7,23.6,5.5,0
012830305,Veyziat,01283,Oyonnax,74.8,NA,20940,26730,37110,0.61,13860,18900,22150,24700,30170,34010,40760,54160,3.9,6,0.356,65.4,60.6,1.8,3,23.7,10.9,0
013540101,Ouest,01354,Saint-Genis-Pouilly,45.4,23.9,14010,33510,58690,1.33,790,10270,17700,24800,43460,53060,65110,84680,107.6,32.9,0.464,84.9,80.2,2.7,2,12.2,2.9,0
013540102,Est,01354,Saint-Genis-Pouilly,44.5,30.8,9060,24910,47840,1.56,0,6440,12350,18130,32550,42680,54390,71280,NA,55.2,0.499,77.8,73.6,2.6,1.6,19.2,3,0
013540103,Centre,01354,Saint-Genis-Pouilly,39.5,37.1,7430,19920,36300,1.45,0,4550,9490,14600,24900,31540,41510,56170,NA,89,0.501,77.6,72.8,2.9,1.9,20.4,2,0
021680101,Centre,02168,Château-Thierry,48.6,37.2,9270,16230,23970,0.91,4440,7710,10850,13710,19050,22030,26160,33060,7.5,10.6,0.393,68.5,58.5,4.5,5.5,27.2,4.3,0
021680201,Chesneaux,02168,Château-Thierry,60.3,24.2,13510,20790,30170,0.8,7410,11380,15630,18280,23810,27500,32740,42850,5.8,8.2,0.367,65.3,54.3,3.1,7.9,28.1,6.6,0
021680401,Mare Aubry,02168,Château-Thierry,48.9,28.6,12050,18240,26310,0.78,5830,10100,13460,16330,21330,24470,28260,36740,6.3,8.2,0.353,63.1,56.4,3.2,3.5,32,4.9,0
021680501,Vaucrises,02168,Château-Thierry,NA,NA,4420,8780,15560,1.27,650,3270,5440,7190,11120,14110,17730,22050,33.7,25.1,0.438,68.6,58.8,9.4,0.4,30.3,1.1,0
021680601,Gerbrois-Saint-Martin-Le Buisson-Vincelles,02168,Château-Thierry,62.3,17.9,15520,22380,30500,0.67,8850,13990,16870,19950,25100,28090,34180,44710,5.1,7,0.355,59.9,49.6,2.7,7.6,35.4,4.7,0
021680701,Blanchard,02168,Château-Thierry,NA,NA,8630,14990,22840,0.95,2470,7050,9820,12590,17870,21300,24260,30600,12.4,13,0.386,67.7,60.6,4.4,2.7,30.6,1.7,0
021730101,Nord-Ouest,02173,Chauny,31.6,51.8,5550,12460,20060,1.16,520,3660,7000,9850,15510,18650,21790,27690,53.1,28,0.435,58.6,52.5,4.8,1.3,39.2,2.2,0
021730201,Sud-Ouest,02173,Chauny,46.2,34.1,9750,17330,25250,0.89,3520,8010,11740,14750,20180,23390,27350,35330,10,12.2,0.395,61.9,53,3.4,5.5,34,4.1,0
021730301,Nord-Est,02173,Chauny,52,26.9,12370,20240,27650,0.76,5600,10440,14250,17740,22860,25880,30420,39710,7.1,8.7,0.36,63.7,54.2,2.6,6.9,32.5,3.8,0
024080101,Saint-Exupéry-Moulin Roux,02408,Laon,24.8,65.6,3340,8480,16200,1.52,0,1570,4610,6760,11380,14330,18350,23840,NA,121.7,0.48,55.1,46,8.1,1,43.5,1.4,0
024080102,Centre Social,02408,Laon,NA,81.9,1190,5670,10670,1.67,0,390,1660,3490,7270,9060,12210,16840,NA,400.6,0.523,63.1,NA,NA,NA,36.6,0.3,0
024080201,Cité du Nord,02408,Laon,44.5,39.8,8850,15620,23210,0.92,3530,7500,10410,13030,18350,21420,25420,31100,8.8,10,0.365,59,54.2,3.3,1.5,38.3,2.7,0
024080301,Gare Saint-Marcel,02408,Laon,48.8,30.4,10930,19180,27450,0.86,3230,8620,12880,15800,21970,25500,30160,38370,11.9,12.4,0.39,59.7,51.5,2.8,5.4,35,5.3,0
024080401,Individuels,02408,Laon,55.7,26.4,12350,21060,30560,0.86,6090,10590,14290,17820,24280,28030,33980,43840,7.2,8.4,0.37,54.4,48.7,2.6,3.1,39.8,5.8,0
024080402,Prévert-Maraîchers,02408,Laon,36.8,44.1,7680,14440,20990,0.92,2420,6220,9060,11510,16660,19440,22330,26640,11,11.7,0.371,63,56.8,5.4,0.8,36.3,0.7,0
024080501,Plateau,02408,Laon,50.7,36.8,7650,17850,29300,1.21,610,5380,9850,14130,21710,26340,33150,44820,74.1,42.1,0.487,71.6,58,3.6,10,23.3,5.1,0
024080601,Vaux,02408,Laon,50.8,32.4,10120,18490,25900,0.85,4420,8100,12310,15550,21080,24230,28310,35560,8.1,10.3,0.37,63,55.7,2.9,4.4,33.4,3.6,0
024080801,Montreuil-La Neuville-Marquette,02408,Laon,40.1,43,6860,15170,22760,1.05,960,5250,8260,11740,18640,21230,24900,30740,32,20.8,0.417,57.9,50,4,3.9,39.9,2.2,0
024080901,Ardon-Leuilly-Semilly,02408,Laon,64.4,15.3,16320,22690,29920,0.6,9330,14960,17810,20160,25630,27990,32660,43610,4.7,6.2,0.335,60.9,55.4,2,3.5,34.5,4.6,0
026910101,Centre Ville 1,02691,Saint-Quentin,55.1,29.1,10960,21640,35230,1.12,2440,9080,13360,17420,26090,31720,39120,56570,23.2,23.2,0.494,67.2,50.2,2.2,14.8,24.6,8.2,0
026910102,Centre Ville 2,02691,Saint-Quentin,59.6,28.2,11180,22950,38890,1.21,3350,9530,13810,18210,27940,34910,43560,64050,19.1,21.1,0.493,68,50.6,2.1,15.3,24,8,0
026910103,Centre Ville 3,02691,Saint-Quentin,47.3,38.7,8710,17040,27980,1.13,1100,6390,10010,13890,20560,24920,31320,39910,36.3,28.5,0.491,67.6,56.3,3.4,7.9,23.6,8.8,0
026910104,Centre Ville 4,02691,Saint-Quentin,47.7,38.6,6940,16980,26850,1.17,1400,5260,9190,13520,20570,24170,29850,40690,29.1,31.1,0.49,66.2,54.3,3.8,8.1,25.8,8,0
026910201,Europe-Remicourt 1,02691,Saint-Quentin,52.3,31.3,11330,19230,28360,0.89,3750,9070,12500,16120,22390,25760,31460,41190,11,13.7,0.416,68.2,57.8,3.1,7.3,27.7,4.1,0
026910202,Europe-Remicourt 2,02691,Saint-Quentin,55.4,23.5,13440,20350,28120,0.72,6160,11530,14750,17680,23240,26270,30120,37620,6.1,7.2,0.332,62.9,58,2.5,2.4,34.6,2.5,0
026910203,Europe-Remicourt 3,02691,Saint-Quentin,51.2,29.7,10740,19050,28070,0.91,3670,8840,13100,15910,21700,25610,30570,39000,10.6,12.4,0.397,54.5,46.5,2.9,5.1,42.3,3.2,0
026910204,Europe-Remicourt 4,02691,Saint-Quentin,23.3,68.5,1650,6790,15200,2,0,500,2930,4620,9670,13930,17370,24010,NA,439.7,0.56,56.8,47.3,6.5,3,39.2,4,0
026910205,Europe-Remicourt 5,02691,Saint-Quentin,15.1,75.9,1510,6430,12430,1.7,0,640,2340,4360,8030,10980,14220,17480,NA,262.5,0.507,57.7,NA,NA,NA,41.3,1,0
026910206,Europe-Remicourt 6,02691,Saint-Quentin,27.7,60.6,3250,9270,17830,1.57,0,1630,4240,6640,12910,16130,19580,24760,NA,96.5,0.479,37.1,NA,NA,NA,61.5,1.4,0
026910207,Europe-Remicourt 7,02691,Saint-Quentin,31.4,53.6,5610,12300,19490,1.13,350,4170,6380,9960,14770,17710,21010,26370,76.2,22.1,0.41,42.4,NA,NA,NA,56.4,1.2,0
026910208,Europe-Remicourt 8,02691,Saint-Quentin,59.9,22.6,14110,21960,30940,0.77,6410,11250,15830,19210,25670,28810,33720,44220,6.9,9.5,0.37,62.5,55.9,2.1,4.5,32.3,5.2,0
026910209,Europe-Remicourt 9,02691,Saint-Quentin,51.8,30,11200,19140,32440,1.11,3560,9140,13000,16480,23290,27960,36240,48200,13.6,15,0.43,67.1,57,2.3,7.8,28.1,4.8,0
026910301,Isle 1,02691,Saint-Quentin,36.3,45.5,6410,13840,20790,1.04,640,4820,8010,11390,16710,19290,22270,27380,42.8,21.6,0.413,68.1,59.6,5.1,3.4,29.8,2.1,0
026910302,Isle 2,02691,Saint-Quentin,46,29.7,11710,17800,23100,0.64,4830,9520,13150,15760,19760,21730,25190,30490,6.3,7.9,0.326,63.1,56.9,3.3,2.9,35.3,1.6,0
026910303,Isle 3,02691,Saint-Quentin,28.1,52.1,5090,12410,18810,1.11,0,3730,6480,9700,14790,17470,20370,24190,NA,28.9,0.409,51.1,45,5.5,0.6,48.2,0.7,0
026910304,Isle 4,02691,Saint-Quentin,38.7,44.8,6730,14450,21610,1.03,690,5590,8610,11550,17210,20120,23210,28660,41.8,19,0.402,62.5,55.2,4.7,2.6,35.5,2,0
026910401,Saint-Martin-Oestres 1,02691,Saint-Quentin,41.6,39.7,8040,16540,23810,0.95,1310,6460,9670,13010,19140,22210,25840,31440,24.1,15.4,0.398,57.9,50,3.6,4.3,39.4,2.7,0
026910402,Saint-Martin-Oestres 2,02691,Saint-Quentin,41.3,39.2,9260,15650,21710,0.8,2040,7400,10570,13110,17820,20340,23590,28310,13.9,12.1,0.358,66.8,59.3,4.4,3.1,31.9,1.3,0
026910403,Saint-Martin-Oestres 3,02691,Saint-Quentin,45.1,31.7,10460,17460,23870,0.77,4050,8690,12230,14970,19990,22640,25270,30230,7.5,8.8,0.329,58.4,54.1,3.2,1.1,39.7,1.9,0
026910501,Vermandois 1,02691,Saint-Quentin,40.5,39.1,8150,15870,22570,0.91,1390,6590,9670,13170,18520,20840,24550,29670,21.3,16.7,0.403,62.9,55.3,3.6,4,33.3,3.8,0
026910502,Vermandois 2,02691,Saint-Quentin,46.5,37,8080,16970,24760,0.98,1710,6810,9880,14090,19380,22910,27950,36070,21.2,17.1,0.413,65.1,57.9,3,4.2,30.3,4.6,0
026910503,Vermandois 3,02691,Saint-Quentin,NA,NA,3250,9020,16270,1.44,0,1600,4270,6470,11800,14870,17650,23080,NA,123.5,0.482,63.2,52.4,7.7,3.1,35.5,1.3,0
026910504,Vermandois 4,02691,Saint-Quentin,47,30.7,11230,18810,24960,0.73,5950,9760,12790,16180,20940,23720,27100,33970,5.7,7.9,0.348,56.4,49.6,2.1,4.7,41.7,1.9,0
026910601,Saint-Jean,02691,Saint-Quentin,44.2,35.8,9580,17170,23570,0.81,2580,7230,11300,14450,19590,22220,25470,32560,12.6,14.1,0.396,65.2,57.2,3.5,4.5,31,3.8,0
027220101,Presles 1,02722,Soissons,29.5,60.3,4110,9940,17990,1.4,300,2800,5150,7170,12920,16090,20990,28160,93.6,44.9,0.517,48.3,40.2,4.8,3.3,43.5,8.2,0
027220102,Presles 2,02722,Soissons,15.9,79,1470,6660,11730,1.54,0,550,2240,4730,8150,10530,13490,17560,NA,224,0.497,70.2,NA,NA,NA,29,0.8,0
027220103,Presles 3,02722,Soissons,23.4,64.9,4020,9320,15730,1.26,560,2890,5480,7140,11540,14100,17520,21750,39,30.2,0.449,64.6,53.8,9,1.8,33,2.4,0
027220201,Maupas,02722,Soissons,40.8,42.3,8830,15020,20570,0.78,2870,6910,10320,12460,17070,19360,22170,26790,9.3,9.5,0.342,53.7,NA,NA,NA,44.6,1.7,0
027220301,Longues Baies,02722,Soissons,NA,NA,17730,25590,35240,0.68,11650,16300,19290,22420,28220,32840,38120,49330,4.2,5.7,0.325,58.7,49.2,1.7,7.8,34.9,6.4,0
027220401,Saint-Crépin,02722,Soissons,27.7,53.1,6610,12160,18780,1,190,5430,8530,10360,14830,17200,20300,24820,129.9,18,0.397,56,48.3,7,0.7,40.9,3.1,0
027220501,Centre 1,02722,Soissons,64.4,18.2,15310,22930,31900,0.72,9000,13800,16740,20080,26120,29290,35150,47930,5.3,7.6,0.381,58,49.5,2.1,6.4,32.1,9.9,0
027220502,Centre 2,02722,Soissons,48.6,31.5,10020,18270,27820,0.97,2450,7840,12150,15580,21500,24920,30540,42410,17.3,16.5,0.421,56.9,48.5,3,5.4,37.4,5.7,0
027220503,Centre 3,02722,Soissons,54.2,30.5,11040,19730,30090,0.97,3790,8540,12860,16310,22960,27610,34420,49710,13.1,17.4,0.462,61.8,48.3,2.5,11,28.4,9.8,0
027220601,Chevreux,02722,Soissons,NA,NA,4450,9560,16610,1.27,710,2950,5850,7460,12170,15150,18210,23160,32.5,25.7,0.437,75.7,67.4,7.4,0.9,22.9,1.4,1
027220701,Saint-Waast,02722,Soissons,54.7,26.1,12680,19890,27100,0.72,5790,10670,14570,17230,22400,25040,29420,36950,6.4,8.5,0.358,65.5,57.7,3.4,4.4,30.7,3.8,0
027220801,Saint-Médard,02722,Soissons,36.2,44.5,8570,14380,21750,0.92,3680,7060,9710,11850,16940,20080,23610,29070,7.9,9.8,0.368,70,62.5,5,2.5,28,2,0
027220901,Gare,02722,Soissons,57.4,25,13020,21480,30390,0.81,6900,11170,15290,18360,24690,28250,33900,44860,6.5,9.6,0.399,62.5,53,2.6,6.9,29.3,8.2,0
027380101,Quessy Centre,02738,Tergnier,40.1,34.2,10030,16470,23110,0.79,3600,8530,12130,14230,19120,21670,25050,30290,8.4,9.1,0.343,61,55.3,3.2,2.5,36.6,2.4,0
027380102,Quessy Cité,02738,Tergnier,34.5,45.1,8520,14250,19750,0.79,3500,7070,9400,11590,16300,18500,21030,25300,7.2,7.6,0.326,69.7,NA,NA,NA,30,0.3,0
027380201,Vouel,02738,Tergnier,44.3,32.3,10450,17920,23990,0.76,3400,8390,11940,15340,20340,22640,25690,31010,9.1,9.4,0.336,62.8,55.8,4.2,2.8,35.9,1.3,0
027380301,Tergnier 1,02738,Tergnier,44.6,31.4,11340,17930,23930,0.7,3780,9360,12550,15230,20250,22560,25430,31000,8.2,9.2,0.335,55.7,50.2,3.7,1.8,41.5,2.8,0
027380302,Tergnier 2,02738,Tergnier,35.1,48,5880,13340,21210,1.15,220,4450,7270,10170,16240,19560,22740,26550,122.1,24.9,0.416,60.9,53.5,5.1,2.3,36.9,2.2,0
027380401,Fargniers,02738,Tergnier,44.2,31.1,10950,17580,23730,0.73,5040,9080,12580,15220,19740,22450,25480,30430,6,7.4,0.318,60.3,53.9,3.9,2.5,37.5,2.2,0
028100102,Avenue de Compiegne,02810,Villers-Cotterêts,53.4,25.2,12850,19330,26360,0.7,6830,10720,14560,16900,21750,24420,28370,36070,5.3,7,0.342,63.1,56.8,3.2,3.1,30.9,6,0
028100202,Château,02810,Villers-Cotterêts,55.9,24.2,13140,20130,27740,0.72,7810,11690,14760,17310,22420,25690,30550,38650,4.9,7.1,0.357,67,60.6,3.1,3.3,26.2,6.8,0
028100302,Pisseleux,02810,Villers-Cotterêts,56.1,15.3,15750,20910,27190,0.55,11150,14360,16710,18880,23010,25430,29880,37040,3.3,4,0.265,75.1,71,2.7,1.4,22.8,2.1,0
028100401,Vivières,02810,Villers-Cotterêts,33.5,50.1,7510,12980,19600,0.93,2680,6150,8610,10660,15240,18300,21130,26420,9.9,10.5,0.367,77.2,NA,NA,NA,21.7,1.1,0
030950101,Centre Historique,03095,Cusset,40.1,39.4,7990,15680,22930,0.95,210,5730,9860,13280,17940,21380,25130,32380,155.3,24.8,0.446,54.3,42.7,4.2,7.4,41,4.7,0
030950102,Montbeton-Les Jonchères,03095,Cusset,NA,NA,11700,18510,25850,0.76,3820,9820,13280,16160,21460,24120,27830,33960,8.9,9.9,0.354,54.7,47,2.6,5.1,41.9,3.4,0
030950103,Presles-Puybesseau,03095,Cusset,42.4,38.7,9110,16120,23010,0.86,3340,7480,10900,13190,18800,21520,24460,30950,9.3,10.9,0.372,61.2,53.4,3.8,4,37,1.8,0
030950105,Champcourt-Zone Industrielle,03095,Cusset,51.9,22.1,14050,20040,27220,0.66,6590,11860,15660,17990,22600,25120,29100,36570,5.6,6.9,0.329,56.7,48.3,2.4,6,40.5,2.8,0
030950106,Zone Verte,03095,Cusset,62.4,NA,17570,23270,30140,0.54,13070,16430,18760,21100,25810,28520,32210,39360,3,3.8,0.26,60.4,53.5,2,4.9,35.2,4.4,0
030950111,Boulaires-Graves-Chambon Étendu,03095,Cusset,49.4,24.7,13200,19790,27180,0.71,7620,11420,15030,17220,22680,25130,29150,35060,4.6,6.3,0.319,53,46.7,3,3.3,43.7,3.3,0
031850101,Cité Bretonnie-Châtelet-Favières-Conches,03185,Montluçon,47.1,33,9250,18510,28080,1.02,1190,6600,11810,15130,22020,25140,31690,43010,36.1,28.8,0.492,59.9,47.4,3.4,9.1,30.5,9.6,0
031850102,Diénat-Forges,03185,Montluçon,46.1,33.1,10290,18300,26650,0.89,1450,8290,11980,15270,21250,24740,29560,38730,26.6,16.7,0.428,59.2,49.1,3.1,7,37,3.8,0
031850103,Chantoiseau-Faucheroux,03185,Montluçon,42.9,30.4,11780,18380,26320,0.79,2330,8950,12870,15650,21070,24410,28500,34440,14.8,12.7,0.373,57.2,51.3,3.5,2.4,38.5,4.3,0
031850104,Fours à Chaux,03185,Montluçon,41.2,32.3,10630,16990,22870,0.72,4220,8090,12170,14660,19070,21430,24590,30020,7.1,9.1,0.335,57.5,51.3,4.1,2.1,39.8,2.7,0
031850105,Montcourtais,03185,Montluçon,39.6,42.7,6400,14880,21500,1.01,0,4580,8580,12100,17450,20020,22670,28360,NA,27.7,0.4,53.9,49,3.5,1.4,43.3,2.8,0
031850106,Ville Gozet,03185,Montluçon,32.2,48,5320,13570,19890,1.07,0,3450,7330,10520,15950,18560,21530,26570,NA,34.5,0.433,53,45,4.3,3.7,43.8,3.2,0
031850108,Montgacher-Cordeliers,03185,Montluçon,53.5,24.6,13030,19760,26870,0.7,6200,11120,14490,17490,22520,25180,29470,36230,5.8,7.5,0.334,60,53.7,3,3.3,37,3,0
031850110,Rimard-Marignon,03185,Montluçon,56.7,22.2,14040,21860,30590,0.76,7160,12160,15680,18970,24880,28350,33110,42110,5.9,7.8,0.35,58.1,49.3,2.1,6.7,38.7,3.2,0
031850111,Saint-Jean,03185,Montluçon,60.7,16.2,15660,22690,31260,0.69,9500,14390,17280,19680,25390,28760,34510,43000,4.5,6.2,0.343,56,46.3,1.9,7.8,38.5,5.5,0
031850112,Les Iles-Buffon,03185,Montluçon,50.1,26.5,12600,19500,26000,0.69,4850,10650,14310,16760,22050,24400,27780,33440,6.9,7.9,0.331,57.3,51.6,3,2.7,39.7,3,0
031850113,Fontbouillant,03185,Montluçon,34,42.7,7490,14740,21390,0.94,30,4970,8850,11880,16940,19630,22770,27710,997.6,22,0.392,54.3,48.9,3.8,1.6,43.6,2.1,0
031850114,La Caserne-Les Guineberts,03185,Montluçon,46.1,27.1,12030,19290,25720,0.71,6110,10410,13850,16790,21660,24250,28180,33240,5.4,7.2,0.318,57.1,51.9,3.2,2,39.9,3,0
031850115,Bien Assis,03185,Montluçon,34,48.1,3700,13540,21870,1.34,0,1440,5420,9060,16830,19870,23880,28960,NA,402.2,0.463,46.4,41.5,3.5,1.4,51.2,2.4,0
031850116,Marais-Villars,03185,Montluçon,42,33.5,10520,17020,23430,0.76,4340,8780,11890,15010,19230,21840,24790,29860,6.9,8.2,0.328,47.8,41.8,3.8,2.2,48.5,3.7,0
031850117,Viviani-Dunlop,03185,Montluçon,30.9,45.7,6840,14000,20330,0.96,410,5270,8450,11450,16330,18820,21750,26430,64.6,20.7,0.387,50.1,44.6,3.5,2,47.9,2,0
