NombreEmpresa,NumExpediente,IdentificacionFiscal,TipoDeContrato,Municipio,Provincia,Pais,DT_RowId
"CONSTRUCCIONES Y MANTENIMIENTOS JANA, S.L.",48571,A81484974,Servicios,MADRID,MADRID,ESPAÑA,EZaxt3VnGWaC9FLeHtXptA..
"CONSTRUCCIONES Y MANTENIMIENTOS JANA, S.L.",48897,A81515215,Servicios,MADRID,MADRID,ESPAÑA,IJfZ3rJax0E7qQhauFbB2w..
"SIDREAM, S.L.",81303,A81569915,Obras,MADRID,MADRID,ESPAÑA,npraeTvuf8bNxosh9_eFbA..
"MICROBUSES NUÑEZ, S.L.",50638,A81626905,Servicios,MADRID,MADRID,ESPAÑA,AFbk8XEcHj3jnu3DIVuOEQ..
"TALNAMADI, S.L.",45573,A81628299,Obras,MADRID,MADRID,ESPAÑA,bQOZbRJPJBV3uXboSyqPMg..
"GESTIPOLIS GH, S.L.",48133,A81628299,Servicios,MADRID,MADRID,ESPAÑA,BrkDRvn6AIi5BRLWWLfLBw..
"ELECTROMANTENIMIENTO DEL SURESTE, S.L.",48606,A81655540,Obras,MADRID,MADRID,ESPAÑA,7n3FvnYHJ0gI8zS4O-TRsw..
"ELECTROMANTENIMIENTO DEL SURESTE, S.L.",45628,A81655540,Servicios,MADRID,MADRID,ESPAÑA,yYZfernJvjHrgnJ_RP8Z7g..
BELMONTE BUS S.L.,53920,A81673352,Servicios,MADRID,MADRID,ESPAÑA,F29NXLfokho0xOI2LRCrGw..
"SONORA PRODUCCIONES, S.L.",54639,A81691289,Servicios,MADRID,MADRID,ESPAÑA,RLhAFNZs-4XhdWv724TH3g..
"EXCOLEVANTE, S.L.",57123,A81732232,Obras,MADRID,MADRID,ESPAÑA,bg9BaZpINFOvgseA64v3rA..
"PRIMARY NET, S.L.",57124,A81732232,Servicios,MADRID,MADRID,ESPAÑA,C0u9RBJVw2A9gBQhkJNTLw..
"APISER 82, S.L.",54114,A81739617,Servicios,MADRID,MADRID,ESPAÑA,lx7bAkmXE_Rwv219wrmsNQ..
"ARMANDO CALERO E HIJOS, S.L.",48339,A81772154,Obras,MADRID,MADRID,ESPAÑA,uu_KoLhyfgrpdJ9EtVHQsA..
"INVERCA ELECTRICIDAD, S.L.",76822,A81784704,Servicios,MADRID,MADRID,ESPAÑA,wxtrBfOtZS3fejDI5oO8FA..
"INVERCA ELECTRICIDAD, S.L.",60348,A81784704,Obras,MADRID,MADRID,ESPAÑA,-n9g_N2-6ebgVKmeDBVpkQ..
"DEMCO MONTAJES, S.L.",47187,A81821928,Servicios,MADRID,MADRID,ESPAÑA,FZzAIxK2flPLkMHsmU8hpg..
"DEMCO MONTAJES, S.L.",46280,A81873903,Obras,MADRID,MADRID,ESPAÑA,3BvN0cU_C9VjeorF7gaIqQ..
"CONSTRUCCIONES FRANCISCO ROCA SANCHEZ, S.L.",48189,A81890824,Obras,MADRID,MADRID,ESPAÑA,yFu3_mNNl9U-wqSRfp7XjQ..
"INSERAQUA, S.L.",46461,A81940371,Servicios,MADRID,MADRID,ESPAÑA,AoqsZF_xj9FIxvuNnAquWA..
METAENLACE SISTEMAS DE INFORMACION S.L.,45498,A81940371,Obras,MADRID,MADRID,ESPAÑA,ZH2V2EBgh41V0PmohjZNdA..
"JOSE MARTINEZ TORRES, S.L.",53155,A81942674,Obras,MADRID,MADRID,ESPAÑA,h3TfRHtf-imV5FNjSVfa5w..
"CONTINENTAL OBRAS Y MANTENIMIENTO, S.L.",63088,A82045683,Servicios,MADRID,MADRID,ESPAÑA,XPeEqKTjDWQYENkCW1ojLQ..
"INSTALACIONES ELECTRICAS ROCA Y CAPARROS, S.L.",54147,A82055096,Servicios,MADRID,MADRID,ESPAÑA,8pvRwDxkxZZnjeSiTbVkOg..
"INSTALACIONES ELECTRICAS ROCA Y CAPARROS, S.L.",49475,A82118985,Servicios,MADRID,MADRID,ESPAÑA,W-wqLcImDmLvj33n1fJTjw..
"RESTAURALIA CARTAGO, S.L.",48317,A82118985,Obras,MADRID,MADRID,ESPAÑA,XfOoTezN5g_mUSQO7vAzEA..
"RESTAURALIA CARTAGO, S.L.",52421,A82205337,Obras,MADRID,MADRID,ESPAÑA,CVgqpH_ZtLIMxfoWxG-zpA..
"DESARROLLOS PAISAJISTICOS DEL MAR MENOR, S.L.",81320,A82205337,Servicios,MADRID,MADRID,ESPAÑA,yD-M_Ic_Omh5Q1FeLdOaFA..
"GESTION PULIDO, S.L.N.E.",55560,A82236944,Servicios,MADRID,MADRID,ESPAÑA,r2J8BZ3Nz7zjV2sMbXxM3A..
"ASC HERACLEAN, S.L.",74165,A82251034,Obras,MADRID,MADRID,ESPAÑA,Dz_2ldHYQRKeiJLu6e3iZQ..
"SERMADIESEL, S.L.",58716,A82261280,Servicios,MADRID,MADRID,ESPAÑA,quBjMV7XC5rNzaCT44wosA..
URGACEN VIENA 25 SL,59119,A82280124,Servicios,MADRID,MADRID,ESPAÑA,thbYVl-lypfa1rsamcIC3A..
URGACEN VIENA 25 SL,49486,A82365412,Servicios,MADRID,MADRID,ESPAÑA,JtRfFYPTYrELvOV2gcoB9Q..
"OBRAS Y ESTUDIOS JIMA, S.L.",76118,A82405820,Servicios,MADRID,MADRID,ESPAÑA,Fdh-mLgMaVGH_FC2MbXY9Q..
"ALTERNATIVAS DE LEVANTE, S.L.",72101,A82407669,Servicios,MADRID,MADRID,ESPAÑA,z3ayOCX54FZVNEBPdIY9Pg..
