NombreEmpresa,NumExpediente,IdentificacionFiscal,TipoDeContrato,Municipio,Provincia,Pais,DT_RowId
"LOPEZ MORALES, VICENTE",35831,B15141054,Servicios,ABEGONDO,A CORUÑA,ESPAÑA,wQyl4mdCE2qDLkDteKA4hg..
"REGIDOR HERRERO, JAVIER",80444,B15032287,Servicios,AMES,A CORUÑA,ESPAÑA,dwZYYfFdb0ddPwBKNmNgCA..
"CORTIJO DOMINGUEZ, BENJAMIN",31475,B15032287,Obras,AMES,A CORUÑA,ESPAÑA,CZZtqZHrfVYZATAr7jryCg..
"MANZANILLA SANCHEZ, EDUARDO",23869,B15075732,Servicios,AMES,A CORUÑA,ESPAÑA,B6XH0gW5rPx-LRZthqlt3w..
"REBOLLO MAZARIO, CARMEN",40034,B15257066,Servicios,AMES,A CORUÑA,ESPAÑA,OCUe6a37f04ajP2bk0E9dQ..
"RONDAN QUIROS, RICARDO",75197,B15279359,Obras,AMES,A CORUÑA,ESPAÑA,EywSVXGbuuWxA8vC-jTQ0g..
"ESTEBAN-MANZANARES DEL CERRO, MARIA JOSE",40792,B15360712,Obras,AMES,A CORUÑA,ESPAÑA,1hQ9GB86c1sS-zGWGDm7AA..
"SANCHEZ DE CASTRO HERNANDEZ, MOISES",39497,B15360712,Servicios,AMES,A CORUÑA,ESPAÑA,fYPCAFeEMwREOYT1zrFF7g..
"DIAZ MATEOS, JOSE MANUEL",60887,B15660541,Servicios,AMES,A CORUÑA,ESPAÑA,LrhgqtA5dn_G423fkWlqGA..
"MORA MARTIN, JOSE ANTONIO",60581,B15682594,Servicios,AMES,A CORUÑA,ESPAÑA,eZjGHp8BnaU-libCVMnbbg..
"FERNANDEZ DE LA HOZ MEDINA, JESUS",67227,B15747652,Servicios,AMES,A CORUÑA,ESPAÑA,ryMYPYEcm4LRJtPuR7PO0A..
"SANCHEZ DE LA LLAVE, JOSE MANUEL",57935,B15851660,Obras,AMES,A CORUÑA,ESPAÑA,Yc1JBOcBqykV7zHkt3GHzQ..
"GONZALEZ GOMEZ, SALVADOR",80731,B70067541,Obras,AMES,A CORUÑA,ESPAÑA,nH1RvpYOwaTrxAiA7jC-ew..
"AVIS FERNANDEZ, LAURA VICTORIA",81569,B70067541,Servicios,AMES,A CORUÑA,ESPAÑA,KaNLBYfuaF819EnTb7OB-g..
"MADRIGAL GARCIA, JOSE LUIS",72159,B70180336,Obras,AMES,A CORUÑA,ESPAÑA,mnXKffoywb5iNxdgCfBlDA..
"NOVA ORZAEZ, ANTONIO",79909,B70240320,Servicios,AMES,A CORUÑA,ESPAÑA,SfBv0jXdtp6YW-Nwd085Rg..
"CANTOS PADILLA, ISABEL MARIA",77394,B70123443,Servicios,ARANGA,A CORUÑA,ESPAÑA,D30-Tq8l7xwFiGNuFwkaag..
"CHAMORRO DIAZ, VICTORIANO",3540,B15021116,Obras,ARTEIXO,A CORUÑA,ESPAÑA,MhmO-8TQjZtEzVUEfEIVPg..
"SANCHEZ CABEZAS, MILAGROS",68332,B15021116,Servicios,ARTEIXO,A CORUÑA,ESPAÑA,z1gpCxePZOcejrjZiSIehg..
"GARCIA POZO, DIONISIO",70405,B15042286,Obras,ARTEIXO,A CORUÑA,ESPAÑA,8Ai2qhLFm2kfNOqkD4CUzQ..
"CARRION VELASCO, ALBERTO",32553,B15148752,Obras,ARTEIXO,A CORUÑA,ESPAÑA,EdEjKKdKRKtOMnoY_cDCDw..
"GARCIA LAGUNA, ANGEL",38171,B15342058,Servicios,ARTEIXO,A CORUÑA,ESPAÑA,JSUJeozpqy4F3AXnSdu4zA..
"GARCIA LAGUNA, ANGEL",73546,B15383482,Obras,ARTEIXO,A CORUÑA,ESPAÑA,n92IMrg3sKxFi6Lqsv0Edw..
BIENVENIDO SANCHEZ GONZALEZ,78519,B15383482,Servicios,ARTEIXO,A CORUÑA,ESPAÑA,OiqbiO3kHEa7Pf64x9UAug..
"MARTINEZ VALIENTE, PEDRO ALFREDO",74483,B15743198,Servicios,ARTEIXO,A CORUÑA,ESPAÑA,ngrM65VAQpYfh7I5tU2n1g..
"JARAIZ GOMEZ, VALERIANO",74520,B15743198,Obras,ARTEIXO,A CORUÑA,ESPAÑA,OsZtkK9qZjSiNd4pdcOytQ..
"GOMEZ GIL, LUIS",79448,B15769706,Servicios,ARTEIXO,A CORUÑA,ESPAÑA,vOI56WMkHdupezWigPW1nw..
"CERVIGON MOTA, ANGEL",56583,B15769706,Obras,ARTEIXO,A CORUÑA,ESPAÑA,fUxbf7pRbnzujTVZeoeOVA..
"PORRAS CEREZO, UBALDO",80840,B70290325,Obras,ARTEIXO,A CORUÑA,ESPAÑA,cP08NKsZougBhM6jUQfF6w..
"GARCIA TORRES DE LA RIVA, MARIA JOSE",78939,B70388103,Servicios,ARTEIXO,A CORUÑA,ESPAÑA,xL2qE8qhmUyaTdHHYm_KUw..
"BENITO FERNANDEZ, Mª CONCEPCION",78141,B70398193,Obras,ARTEIXO,A CORUÑA,ESPAÑA,2AC0Glz5-qPw8YEIH6nwDw..
"REBOLLO NEVADO, JULIO",63656,B15105760,Servicios,ARZUA,A CORUÑA,ESPAÑA,Nl3Ux22u2lFTOuqGlC644w..
"RUBIO SIMON, ELADIO",71115,B15457575,Servicios,ARZUA,A CORUÑA,ESPAÑA,aDl7KwGMF-TFJsZr5CZm0Q..
"MONTERO TALAVAN, JOSE ANTONIO",55257,B15768880,Obras,AS SOMOZAS,A CORUÑA,ESPAÑA,7ubTukkwIS96yzUnzqMfvg..
"DIAZ HERREROS, PEDRO ANTONIO",11991,A15035413,Obras,BERGONDO,A CORUÑA,ESPAÑA,C_S4c7VI9Yhn12oiUOy1pw..
"FELTRERO OREJA,  JUAN LUIS",69747,A15035413,Servicios,BERGONDO,A CORUÑA,ESPAÑA,5dJDYKUaXiKjFO_uXknarg..
"MESONERO RUBIO, DEMETRIO",71357,A15208408,Servicios,BERGONDO,A CORUÑA,ESPAÑA,v4q7zlvBazViGFu5tVJEog..
"PANIAGUA MORATO, ANGEL",55613,A15208408,Obras,BERGONDO,A CORUÑA,ESPAÑA,wTa38WeYK_xjxGAn28ocjQ..
"GARCIA MORENO MENDOZA, JORGE",40357,B15134182,Servicios,BERGONDO,A CORUÑA,ESPAÑA,KXVARg1dYsVRZtDxThuGPQ..
"GIL ADAME, MARIA LUISA",54295,B15354327,Obras,BERGONDO,A CORUÑA,ESPAÑA,VLY1O7Z9apldjeJY1vXqlA..
"RUBIO CORRAL, EDUARDO",82125,B15434251,Obras,BERGONDO,A CORUÑA,ESPAÑA,xd9ygPqaC2YVzw38XDphBA..
"BARQUERO MOTERA, FRANCISCO",49853,B15647803,Servicios,BERGONDO,A CORUÑA,ESPAÑA,a3jZiEQrvPQSFOszEOrAgA..
"PEREZ RODRIGUEZ, ALFONSO LUIS",58952,B15843394,Servicios,BERGONDO,A CORUÑA,ESPAÑA,q-lWvg0UECKx7xD0KCMZJA..
"PRIETO SUAREZ, JAVIER",77235,B70370820,Obras,BERGONDO,A CORUÑA,ESPAÑA,bZcHUXT-jWEyNDnp2ViRRw..
MORALES GARCIA RICARDO,79578,B70365051,Obras,BETANZOS,A CORUÑA,ESPAÑA,qE79mIxVm0I6-aR4MwwFJg..
"MARTINEZ CUERVO, FERNANDO",6485,A36016665,Obras,BOIMORTO,A CORUÑA,ESPAÑA,FtlRdq0maF3KUd6Te9UPZw..
"MARTINEZ CUERVO, FERNANDO",73965,A36016665,Servicios,BOIMORTO,A CORUÑA,ESPAÑA,dGWZOT9JotXaaiQuBoxpYw..
FERNANDEZ CANAL JOSE LUIS,43988,B15157357,Servicios,BOIMORTO,A CORUÑA,ESPAÑA,aCpVguFrR_or6JECh7lOaA..
"RODRIGUEZ MONTEQUIN, IVAN",11188,A15146608,Obras,BOIRO,A CORUÑA,ESPAÑA,EJMV-I5u1vSJuwGCP1vOoA..
"BLANCO GARCIA, JOSE ALBERTO",80598,A15146608,Servicios,BOIRO,A CORUÑA,ESPAÑA,5oE5jFLU0_FxXshX0o9qOQ..
"MARTIN FERNANDEZ, JAVIER",80933,A15333958,Obras,BOIRO,A CORUÑA,ESPAÑA,_rFhESokxzByAvmr3GZALQ..
"CABAÑAS SORIA, ALFREDO",45109,B15207434,Obras,BOIRO,A CORUÑA,ESPAÑA,1zxjBilYPoH6jZ2QpttczA..
"LOPEZ RODRIGUEZ, LUIS DIONISIO",45115,B15207434,Servicios,BOIRO,A CORUÑA,ESPAÑA,dGNJEdCbGRH9SwOEAd9oVw..
"TOMILLO GUIRAO, MARIA DEL CARMEN DEL MAR",77352,B15320187,Servicios,BOIRO,A CORUÑA,ESPAÑA,cu3sMz7LSXda2iMLCcrlUw..
"BENITO BARTOLOME, PABLO FELIPE",77117,B15428717,Servicios,BOIRO,A CORUÑA,ESPAÑA,yhyFge3SP7eE4kc-aujRpA..
"BENITO BARTOLOME, PABLO FELIPE",63679,B15493729,Obras,BOIRO,A CORUÑA,ESPAÑA,NMZPs64QRvj1pEfHdFHJ_g..
"LALLANA TOBALINA, JOSE ALBERTO",80685,B15539737,Obras,BOIRO,A CORUÑA,ESPAÑA,dJnVG4FuyvIcuqTA8X6Myw..
JOSE LUIS ZUBILLAGA CASTILLO,80657,B15539737,Servicios,BOIRO,A CORUÑA,ESPAÑA,3JS141Ta90yFddeCgHu5Fg..
"TABOADA ANDRES, JOSE MARIA",80990,B15695711,Obras,BOIRO,A CORUÑA,ESPAÑA,xU2G4c-LX_HGPa19BGrFRA..
"LAVEAGA IZQUIERDO, JOSE ENRIQUE",75934,B15843022,Servicios,BOIRO,A CORUÑA,ESPAÑA,c47pf_lHwi-jQK_i8-_S5g..
"SEDANO MILLAN, RICARDO",72852,B15843022,Obras,BOIRO,A CORUÑA,ESPAÑA,MEyeZHzjo39UtR-i6mw7YQ..
"ABADIA GARCIA DE VICUÑA, JESUS",70859,B15892680,Obras,BOIRO,A CORUÑA,ESPAÑA,FsRRosjxxopP0aR6H768BQ..
"MATEO GONZALO, JOSE LUIS",79001,B70102181,Servicios,BRION,A CORUÑA,ESPAÑA,rTt-BH6tIFZq5GBA0zu_oQ..
"PERNA SUBIAS, RAMON",69461,B70159587,Servicios,BRION,A CORUÑA,ESPAÑA,hUzVbgb8EFPmqeSjBsskTQ..
"PASCUAL TURMO, ANTONIO",54803,B15816515,Servicios,BRIÓN,A CORUÑA,ESPAÑA,QhGg4IxFPLzidqCgJjK_LA..
"GUALLAR ASIN, ROBERTO",57391,B15626922,Obras,CABANA DE BERGANTIÑOS,A CORUÑA,ESPAÑA,FUR5ghRK1lYoj3Rhq85dJg..
"LAGUARTA RIVAS, EZEQUIEL",80359,B70297460,Servicios,CABANA DE BERGANTIÑOS,A CORUÑA,ESPAÑA,LzjyvfpPKp305Z2ExBuVew..
"FORNES SERRA, MARTI",77641,B70297460,Obras,CABANA DE BERGANTIÑOS,A CORUÑA,ESPAÑA,yxcuwrXjCjz7RkfOwCU6yw..
"POMAR DOMINGUEZ, EZEQUIEL",74025,B15398613,Servicios,CABANAS,A CORUÑA,ESPAÑA,WgmzqlZN212hrrbzlSYXvw..
"BARQUERO HERVAS, JERONIMO",62204,B15408966,Servicios,CABANAS,A CORUÑA,ESPAÑA,JWATkNo6qve88aqNNhvT2g..
"NARRO CALOMARDE, JESUS",78122,B70112628,Obras,CABANAS,A CORUÑA,ESPAÑA,pQ0biZ2w2jvA2Ro-CPOCnw..
"NAVARRO CALABUIG, JUAN",53361,B15819642,Obras,CAMARIÑAS,A CORUÑA,ESPAÑA,CJ6gw2SWUyPuW0ypl9nHQA..
"ANTON LAMBERTO, JOSEFA",55850,A15617855,Obras,CAMBRE,A CORUÑA,ESPAÑA,QLGrqlcjZqsxwdBBRUwUQA..
"ANTON LAMBERTO, JOSEFA",43678,B15066392,Servicios,CAMBRE,A CORUÑA,ESPAÑA,neSG1k-q7cPSh9O4K-nI6A..
"CONESA FRANCO, MIGUEL",58176,B15162399,Servicios,CAMBRE,A CORUÑA,ESPAÑA,m5F7xsdIGmX9rddYXWI54w..
"HIDALGO VALVERDE, GINES",64925,B15397151,Servicios,CAMBRE,A CORUÑA,ESPAÑA,XANqpJ0gLqBK6le4ps_N1Q..
"LOPEZ PEREZ, JAIME",64926,B15397151,Obras,CAMBRE,A CORUÑA,ESPAÑA,Cl-j3HvbFDj-v5S4SCzNQg..
"LOPEZ PEREZ, JAIME",50276,B15565864,Servicios,CAMBRE,A CORUÑA,ESPAÑA,OWEJqdS4RmuJRVIGoTud_A..
"SAEZ LOPEZ, ALFONSO",81247,B15999519,Servicios,CAMBRE,A CORUÑA,ESPAÑA,s59xmE7_av_AdoBx4KdJuA..
"RODRIGUEZ SABIO, JUAN JOSE",73186,B15999519,Obras,CAMBRE,A CORUÑA,ESPAÑA,Be9nFTLS0OWvN_xZ-B8YdQ..
"FERNANDEZ GARCIA, RICARDO",80312,B70381884,Servicios,CAMBRE,A CORUÑA,ESPAÑA,U9k4GdIYTnoi7qAgxRtjAQ..
"MARQUEZ SANTIAGO, FERNANDO",80314,B70381884,Obras,CAMBRE,A CORUÑA,ESPAÑA,uvjaTMfZmOxf_E42KAQoqA..
JUAN MANUEL DELGADO SANCHEZ,54804,A15300965,Servicios,CAMPO DA FEIRA (O),A CORUÑA,ESPAÑA,iFVoVoank6gVZKD_w6z-3g..
"JAIME CAÑEDO, MANUEL",81943,B15692189,Servicios,"CAPELA, A",A CORUÑA,ESPAÑA,LgozObo6VluFsyzip7xFWA..
"RODRIGUEZ DOMINGUEZ, MARIA TERESA",36668,B15339906,Obras,CARBALLO,A CORUÑA,ESPAÑA,lT7CxeDJuAbHt693FC16KA..
"GUTIERREZ GARRIDO, CARLOS JAVIER",36853,B15361934,Obras,CARBALLO,A CORUÑA,ESPAÑA,rgViAUfKOwXHPqJp6tOFWQ..
"GARRIDO MORENO, TEODORO",69724,B15397805,Servicios,CARBALLO,A CORUÑA,ESPAÑA,Vso0aZzEnTJ2CTPmLWIX1w..
"GARRIDO MORENO, TEODORO",70608,B15397805,Obras,CARBALLO,A CORUÑA,ESPAÑA,jMBxh6MG3czdmaQnpcKrhg..
"EXPOSITO MONTORO, MANUEL",41206,B15416308,Obras,CARBALLO,A CORUÑA,ESPAÑA,KgPprEyrY9tB3gDMkC8ORQ..
"EGEA COLMENERO, LEOCADIO",58380,B15603483,Obras,CARBALLO,A CORUÑA,ESPAÑA,JvLpXROIrLbV1PGyI2F3FQ..
VICTORIANO MANUEL RUEDA TORRES,58382,B15603483,Servicios,CARBALLO,A CORUÑA,ESPAÑA,daN9XGRTMSco3bGpJZgPwQ..
"SAEZ MARMOL, MIGUEL",78081,B15618598,Servicios,CARBALLO,A CORUÑA,ESPAÑA,TeCEGCTvxPm6t41bxgxNmg..
"SAEZ MARMOL, MIGUEL",47747,B15618598,Obras,CARBALLO,A CORUÑA,ESPAÑA,Q4bUAuYKWhIVP5XxjzrDzg..
"ORTIZ PEREA, ESTEBAN",71672,B15651573,Servicios,CARBALLO,A CORUÑA,ESPAÑA,ADHKdqdDY90GgNxOilTpkw..
"CANO ALCAZAR, SEBASTIAN",75370,B15851231,Obras,CARBALLO,A CORUÑA,ESPAÑA,LFNSfpJEkrwtiQolyY2YJQ..
"MAÑAS PEREZ, FRANCISCO",74641,B70205505,Servicios,CARBALLO,A CORUÑA,ESPAÑA,CLAPYo1p5Z4KktLhqIpyUg..
"CONCHILLO TAMAYO, JOAQUIN",82038,B70235379,Obras,CARBALLO,A CORUÑA,ESPAÑA,qRuKNOxy5wbne-q8qQhvBw..
"MORENO ALGARIN, ANTONIO",82036,B70235379,Servicios,CARBALLO,A CORUÑA,ESPAÑA,Icd-46Yep1I6XeK7NDEv1Q..
FRANCISCO MEDINA GARCIA DE VEAS,81199,B70358346,Obras,CARBALLO,A CORUÑA,ESPAÑA,l3zbGQv-IGI6DaK4FlXLUQ..
"CASADO GARCIA, JUAN MANUEL",80884,B70409875,Obras,CARBALLO,A CORUÑA,ESPAÑA,6c9YKE6HhThQgoaxRbDXcg..
"GUERRA VALLES, MANUEL",80836,B70416011,Obras,CARBALLO,A CORUÑA,ESPAÑA,WBcTJH4aeTzVt1fjSDvx1A..
"RODRIGUEZ CARDENAS, ELENA",48922,B15360902,Obras,CARRAL,A CORUÑA,ESPAÑA,_V9gYBODyx2W_YwKkOuvHQ..
"MARTIN HERNANDEZ, VICTOR MANUEL",70380,B15360902,Servicios,CARRAL,A CORUÑA,ESPAÑA,boiYfhk0S9QMp4zhLL316Q..
"MONTERO LOPEZ, JOSE LUIS",82123,B15462245,Servicios,CARRAL,A CORUÑA,ESPAÑA,6ubHydlFPfMf-C695BEObA..
"GOMEZ MURCIA, SANTIAGO",76725,B70262829,Servicios,CARRAL,A CORUÑA,ESPAÑA,L_Hilk-PwtYDHVI8NMuMOA..
"MENDEZ ORIA, ANTONIO NICOLAS",76720,B70262829,Obras,CARRAL,A CORUÑA,ESPAÑA,EdPvHzR_M3nvetJL44v0pQ..
FRANCISCO JAVIER MONTORIO MIGUEL,42358,B15291347,Obras,CORISTANCO,A CORUÑA,ESPAÑA,KVjybMgKGUSf9MM7dJCjog..
"LEDESMA SANCHEZ, JOAQUIN CARLOS",72769,B15291347,Servicios,CORISTANCO,A CORUÑA,ESPAÑA,lFncVxCZIsH_tyqbOpk_nw..
"LINARES FERNANDEZ, PLACIDO",48172,B15637721,Servicios,CORISTANCO,A CORUÑA,ESPAÑA,4smnb_1PEJWu3WOOkybGpw..
"REY EXPOSITO, MARIA JOSE",74522,B15652464,Servicios,CORISTANCO,A CORUÑA,ESPAÑA,N1flaBOWEuooK7M1qwVJww..
"NAVARRO SANCHEZ, FRANCISCO",59698,A15008485,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,M3j00uk-hndMzYe3UHzDpA..
AGUSTIN RUBIALES PLAZA,1376,A15013162,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,XT5oB5Bkm4_uxBcqJ-o9hA..
"MARTIN-ARROYO RAMOS, PEDRO",4918,A15034564,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,UYmVKon2HV6OyCcjyJdRuA..
"LOZANO CARDENAS, FRANCISCO",33503,A15039563,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,Voiwxvx0KaMr4ktpECAySA..
"ANILLO LOPEZ, CRISTOBAL",60251,A15101876,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,ttmObapL_mdH0Us17fhpHw..
"LOPEZ VAZQUEZ, ALBERTO",11369,A15210669,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,KSCRYw9sPTP5T-v7RZLWJA..
"RODRIGUEZ TOCINO, CLEMENTE",37967,A15435092,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,QjVWrREDvTMtQzq6IYPzaA..
"OTERO NEO, JOSE",74125,A70251392,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,Flo-4sx9hER8sM4CGrb-Mw..
"PIÑEIRO CASTRO, SALVADOR",48403,B09326000,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,JYEaxk-idT-9gljcuHaPIw..
"GARCIA SARCEDA, JOSE",45552,B09326000,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,lmCyAtF0cVbMXqQeE0YFlA..
"TEJADA PEREZ, ANTONIO",4948,B15015274,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,R0jd3Xp0czNyP8W5qyv5Ww..
"FERNANDEZ TORRES, ARMANDO",47588,B15015274,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,BbX9ttXWh3hdqCkO2EW-GA..
"CUBAS MATEO, GERARDO LUCAS",49145,B15034689,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,OnGz_GLyl_rVTbrQSmEVBQ..
"GARCIA GARCIA, MATIAS",57122,B15036593,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,w_Dtf65pwH0YIWWAtCAsbg..
"GARCIA GARCIA, MATIAS",11149,B15072713,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,dbEjUgKTQneA9XkxYV4blw..
"RODRIGUEZ BENITEZ, BERNARDO",65402,B15072713,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,RoBpt56EGqSz7CxH8tn7Rg..
"GONZALEZ ABRANTES, PEDRO JESUS",11638,B15157779,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,Ouwlsr0xC34Om2dkLuJIAQ..
GALLEGOS CARMONA FRANCISCO,39528,B15221567,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,oQIHG8PdOh0k3qf3fjQqow..
"BUENO BLANCO, ROCIO",30410,B15261308,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,rglCe-VO4roZIpIjk5rEOA..
"HERNANDEZ MARTIN, ALVARO",66369,B15261308,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,wAXryt61lciaqpC0Cxq5Gw..
"ESTRADA GARCIA, ANTONIO",78490,B15274830,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,7u5pGEZWvC-d9fXD9vouRQ..
"AGUILERA NACHE, JUAN CARLOS",48290,B15394489,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,xjzPDw4VI7hOuEHhnI_EWg..
"TERRES BELMONTE, MANUEL FRANCISCO",34008,B15398902,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,oPJPhBj0TmBEmTcGW5C46Q..
"GOMEZ DEL CASAR, MIGUEL ANGEL",35553,B15417835,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,r_pVUDpZtRjiBdCanIb7lA..
"GOMEZ VILLACIEROS, MIGUEL ANGEL",75176,B15425804,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,Kv0-c5aQ4JYqrDbdOrT5Kg..
"ALVAREZ HERRERA,JESUS",43885,B15432552,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,rh4jXzLwvjENHNEuvRKXPw..
"RUFO RODRIGO, JUSTINO",53957,B15504426,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,j6oWTZzpc5UMINVu34R0pw..
"CAVACO MARTIN, JOSE LUIS",47533,B15522766,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,-Bum3ddZSh_w1aBRVYavjw..
"ORTIZ DAVILA, JOSE",59388,B15522766,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,8avWVPbzu2T6LSxNX7G8Gg..
"QUIROS LOPO, SONIA",48710,B15547979,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,Ujxb0z2uJxJif5JVj9AerQ..
"LOPEZ MUÑOZ, FRANCISCO JESUS",48879,B15547979,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,Wmn66QveIFJrXQD6DjqP4w..
"MUÑOZ GALDON, GONZALO",55703,B15590581,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,QTdwFxsCzn4FkqAAf800Vw..
"JIMENEZ VICENTE, JUAN MANUEL",68350,B15590581,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,U3NF1b7PQSkWvbzrsm-_sg..
"GEA GARCIA, ANTONIO",61181,B15656580,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,6h9YfguvSfjsOcunOYsbMg..
"FRAILE ARROYO, MARIA ALEJANDRA",68704,B15688013,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,80Fu5Sh0TuiFYq-yydiJCg..
"LOPEZ CRESPO, JESUS",49893,B15727480,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,rbwA6YJAhyxKp7tfX-aVEg..
"PARRA PARRA, FRANCISCO",55310,B15728447,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,776nhp1LXTwMAv-Ae0AnRw..
"PLAZA OLMEDA, JUAN ANTONIO",68916,B15730286,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,AQuu5baR25FFLpA5mrdzSA..
"SEGURA RODRIGUEZ, MARIA DEL CARMEN",73874,B15754682,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,SyHFAkXANWgQkAPEuDCLFw..
"VINATEA FERNANDEZ, JOSE",59011,B15864671,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,Jiu59PaikstUt0RomBQIlQ..
"REVUELTA PEREZ, LUIS MIGUEL",73488,B15903883,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,FSc-q5cESHvl5jiG4MRmVg..
"REVUELTA PEREZ, LUIS MIGUEL",72951,B15989692,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,MEqAq-Pl-wBLYqcuWb-gLw..
"RUIZ MUÑOZ, LUIS",44694,B27024546,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,R0Kayyan_Zcw5S26eZ9t1w..
JUAN GONZALEZ PEREZ,55174,B27024546,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,vYm80lo6ZYy9UP6jwHgU6w..
"LOPEZ SANCHEZ, CRISPINA",59647,B36922144,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,OmXTfc6vOaRguuekGTVZzg..
"DOMINGUEZ MOLERO, ISIDORO",73487,B70082433,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,8KSOn8PKpI1fv_Z6NoO-SQ..
"FERNANDEZ VALDIVIA, DOLORES",72568,B70212634,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,MvE3JTPUkO6hilHH6iZjUQ..
"SANCHEZ MARTIN, INMACULADA",72626,B70218185,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,CwMSyrNdacxdgWvlrz2siQ..
"SANCHEZ MARTIN, INMACULADA",81416,B70243738,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,RyZbvr-8JjfLFPcMy7gRSg..
"BENITEZ MONTIEL, JUAN JOSE",78289,B70248869,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,9Cw4AyycQhjBv9hr4ISlKQ..
"HERVAS VICO, LUIS",79059,B70248869,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,8cvr_4izsuysVXQOOq-ouQ..
"HERVAS VICO, LUIS",79904,B70319413,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,SOOhyobg45Y3Hjm3diT66w..
YERA MOLINA JUANA JOSEFA,78244,B70405857,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,H6cLFn0AvUWyf2PvTy0fQA..
"PEREZ OLMO, FRANCISCO JESUS",79190,B70473640,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,tW-X7vE5H7q-0pgX02c1og..
"VAZQUEZ BARRERO, EUGENIO",81958,B70538459,Servicios,CORUÑA (A),A CORUÑA,ESPAÑA,Dua5s300qovlzVhG9pegpw..
"ALBA MOYANO, ROSA MARIA",81829,B70538459,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,tDh-IMkLDjrITA2TZQC15Q..
"CRISTOBAL SEVILLA, MARTIN",82086,B70569421,Obras,CORUÑA (A),A CORUÑA,ESPAÑA,yPZg5hiSm8qha9V3Clm-BA..
"DIEZ SANCHEZ, CIPRIANO",30611,A15000649,Servicios,"CORUÑA, A",A CORUÑA,ESPAÑA,jCxpA-n8hqFaP1HGV0QLMA..
"VIGO MERCADOR, JESUS FERNANDO",33065,A15050842,Servicios,"CORUÑA, A",A CORUÑA,ESPAÑA,hlP3uku2LAgVzk5lkpfGEg..
"DIAZ ALMUNIA, CARMEN",57580,A15126360,Servicios,"CORUÑA, A",A CORUÑA,ESPAÑA,AxZpbD6RBbYS7XpWWI8Efg..
JOSE DAVID BAENA PEREZ,31787,A15347628,Servicios,"CORUÑA, A",A CORUÑA,ESPAÑA,0f_RvJqOFDt6KDgUN487nA..
"LOPEZ ALVAREZ, MANUEL",39371,A15474281,Servicios,"CORUÑA, A",A CORUÑA,ESPAÑA,0DMQg6Z1KjwoDaBtIwWbTw..
